States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total
Arunachal Pradesh,4.3 - Voyeurism (Section 354C IPC),2014,1,0,1
Arunachal Pradesh,4.4 - Stalking (Section 354D IPC),2014,1,0,1
Arunachal Pradesh,4.5 - Others assault,2014,0,0,0
Arunachal Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Arunachal Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,46,4,50
Arunachal Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,1,0,1
Arunachal Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Arunachal Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,1,0,1
Arunachal Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,7,4,11
Arunachal Pradesh,6.5 - Other Kidnapping,2014,37,0,37
Arunachal Pradesh,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Arunachal Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,1,1
Arunachal Pradesh,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Arunachal Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,2,0,2
Arunachal Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Arunachal Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Arunachal Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Arunachal Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Arunachal Pradesh,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Arunachal Pradesh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Arunachal Pradesh,16.1 - Offences committed against Migrant,2014,0,0,0
Arunachal Pradesh,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Arunachal Pradesh,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Arunachal Pradesh,16.1.3 - Offences committed against others migrants,2014,0,0,0
Arunachal Pradesh,16.2 - Offences committed against Locals,2014,0,0,0
Arunachal Pradesh,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Arunachal Pradesh,16.2.2 - Offences committed against Local STs,2014,0,0,0
Arunachal Pradesh,16.2.3 - Offences committed against others locals,2014,0,0,0
Arunachal Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Arunachal Pradesh,17.1 - Under ITP Section 5,2014,0,0,0
Arunachal Pradesh,17.2 - Under ITP Section 6,2014,0,0,0
Arunachal Pradesh,17.3 - Under ITP Section 7,2014,0,0,0
Arunachal Pradesh,17.4 - Under ITP Section 8,2014,0,0,0
Arunachal Pradesh,17.5 - Other Section of ITP Act,2014,0,0,0
Arunachal Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Arunachal Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",2014,6,0,6
Arunachal Pradesh,19.1 - Under PCSO Act Section 4,2014,3,0,3
Arunachal Pradesh,19.2 - Under PCSO Act Section 6,2014,0,0,0
Arunachal Pradesh,19.3 - Under PCSO Act Section 8,2014,1,0,1
Arunachal Pradesh,19.4 - Under PCSO Act Section 10,2014,0,0,0
Arunachal Pradesh,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Arunachal Pradesh,19.6 - Other Acts of PCSO,2014,2,0,2
Arunachal Pradesh,20 - Attempt to commit Murder u/s 307 IPC,2014,10,0,10
Arunachal Pradesh,21 - Unnatural Offences u/s 377 IPC,2014,0,0,0
Arunachal Pradesh,22 - Other crimes committed against children,2014,1,0,1
Arunachal Pradesh,23 - Total crimes against Children,2014,119,5,124
Assam,1 - Murder (Section 302 and 303 IPC),2014,25,0,25
Assam,2 - Infanticide (Section 315 IPC),2014,0,0,0
Assam,3 - Rape,2014,111,0,111
Assam,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,70,0,70
Assam,4.1 - Sexual Harassment (Section 354A IPC),2014,16,0,16
Assam,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,2,0,2
Assam,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Assam,4.4 - Stalking (Section 354D IPC),2014,0,0,0
Assam,4.5 - Others assault,2014,52,0,52
Assam,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Assam,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,152,0,152
Assam,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,0,0,0
Assam,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Assam,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,8,0,8
Assam,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,91,0,91
Assam,6.5 - Other Kidnapping,2014,53,0,53
Assam,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Assam,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Assam,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Assam,10 - Procuration of minor girls (Section 366-A IPC),2014,303,0,303
Assam,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Assam,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Assam,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Assam,"14 - Prohibition of Child Marriage Act, 2006",2014,4,0,4
Assam,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Assam,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Assam,16.1 - Offences committed against Migrant,2014,0,0,0
Assam,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Assam,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Assam,16.1.3 - Offences committed against others migrants,2014,0,0,0
Assam,16.2 - Offences committed against Locals,2014,0,0,0
Assam,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Assam,16.2.2 - Offences committed against Local STs,2014,0,0,0
Assam,16.2.3 - Offences committed against others locals,2014,0,0,0
Assam,"17 - Immoral Traffic (Prevention) Act, 1956",2014,1,0,1
Assam,17.1 - Under ITP Section 5,2014,0,0,0
Assam,17.2 - Under ITP Section 6,2014,0,0,0
Assam,17.3 - Under ITP Section 7,2014,0,0,0
Assam,17.4 - Under ITP Section 8,2014,0,0,0
Assam,17.5 - Other Section of ITP Act,2014,1,0,1
Assam,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Assam,"19 - Protection of Children from Sexual Offences Act, 2012",2014,278,30,308
Assam,19.1 - Under PCSO Act Section 4,2014,114,8,122
Assam,19.2 - Under PCSO Act Section 6,2014,10,6,16
Assam,19.3 - Under PCSO Act Section 8,2014,48,9,57
Assam,19.4 - Under PCSO Act Section 10,2014,26,1,27
Assam,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Assam,19.6 - Other Acts of PCSO,2014,80,6,86
Assam,20 - Attempt to commit Murder u/s 307 IPC,2014,326,6,332
Assam,21 - Unnatural Offences u/s 377 IPC,2014,0,0,0
Assam,22 - Other crimes committed against children,2014,181,0,181
Assam,23 - Total crimes against Children,2014,1451,36,1487
Bihar,1 - Murder (Section 302 and 303 IPC),2014,100,0,100
Bihar,2 - Infanticide (Section 315 IPC),2014,0,0,0
Bihar,3 - Rape,2014,121,0,121
Bihar,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,35,0,35
Bihar,4.1 - Sexual Harassment (Section 354A IPC),2014,15,0,15
Bihar,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,0,0,0
Bihar,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Bihar,4.4 - Stalking (Section 354D IPC),2014,2,0,2
Bihar,4.5 - Others assault,2014,18,0,18
Bihar,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,0,0,0
Bihar,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,1688,0,1688
Bihar,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,113,0,113
Bihar,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,40,0,40
Bihar,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,10,0,10
Bihar,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,1485,0,1485
Bihar,6.5 - Other Kidnapping,2014,40,0,40
Bihar,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Bihar,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Bihar,9 - Exposure and Abandonment (Section 317 IPC),2014,1,0,1
Bihar,10 - Procuration of minor girls (Section 366-A IPC),2014,238,0,238
Bihar,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Bihar,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Bihar,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Bihar,"14 - Prohibition of Child Marriage Act, 2006",2014,10,0,10
Bihar,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Bihar,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,4,0,4
Bihar,16.1 - Offences committed against Migrant,2014,0,0,0
Bihar,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Bihar,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Bihar,16.1.3 - Offences committed against others migrants,2014,0,0,0
Bihar,16.2 - Offences committed against Locals,2014,4,0,4
Bihar,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Bihar,16.2.2 - Offences committed against Local STs,2014,0,0,0
Bihar,16.2.3 - Offences committed against others locals,2014,4,0,4
Bihar,"17 - Immoral Traffic (Prevention) Act, 1956",2014,3,0,3
Bihar,17.1 - Under ITP Section 5,2014,3,0,3
Bihar,17.2 - Under ITP Section 6,2014,0,0,0
Bihar,17.3 - Under ITP Section 7,2014,0,0,0
Bihar,17.4 - Under ITP Section 8,2014,0,0,0
Bihar,17.5 - Other Section of ITP Act,2014,0,0,0
Bihar,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Bihar,"19 - Protection of Children from Sexual Offences Act, 2012",2014,72,0,72
Bihar,19.1 - Under PCSO Act Section 4,2014,52,0,52
Bihar,19.2 - Under PCSO Act Section 6,2014,6,0,6
Bihar,19.3 - Under PCSO Act Section 8,2014,11,0,11
Bihar,19.4 - Under PCSO Act Section 10,2014,0,0,0
Bihar,19.5 - Under PCSO Act Sections 14 & 15,2014,1,0,1
Bihar,19.6 - Other Acts of PCSO,2014,2,0,2
Bihar,20 - Attempt to commit Murder u/s 307 IPC,2014,27,0,27
Bihar,21 - Unnatural Offences u/s 377 IPC,2014,3,0,3
Bihar,22 - Other crimes committed against children,2014,104,0,104
Bihar,23 - Total crimes against Children,2014,2406,0,2406
Chhattisgarh,1 - Murder (Section 302 and 303 IPC),2014,73,5,78
Chhattisgarh,2 - Infanticide (Section 315 IPC),2014,4,0,4
Chhattisgarh,3 - Rape,2014,885,5,890
Chhattisgarh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,483,1,484
Chhattisgarh,4.1 - Sexual Harassment (Section 354A IPC),2014,198,0,198
Chhattisgarh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,20,0,20
Chhattisgarh,4.3 - Voyeurism (Section 354C IPC),2014,3,0,3
Chhattisgarh,4.4 - Stalking (Section 354D IPC),2014,24,0,24
Chhattisgarh,4.5 - Others assault,2014,238,1,239
Chhattisgarh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,15,0,15
Chhattisgarh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,909,24,933
Chhattisgarh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,470,9,479
Chhattisgarh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,7,0,7
Chhattisgarh,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,4,0,4
Chhattisgarh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,210,2,212
Chhattisgarh,6.5 - Other Kidnapping,2014,218,13,231
Chhattisgarh,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Chhattisgarh,8 - Abetment of Suicide of child (Section 305 IPC),2014,1,0,1
Chhattisgarh,9 - Exposure and Abandonment (Section 317 IPC),2014,0,1,1
Chhattisgarh,10 - Procuration of minor girls (Section 366-A IPC),2014,1,2,3
Chhattisgarh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Chhattisgarh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Chhattisgarh,13 - Selling of minors for prostitution (Section 372 IPC),2014,2,3,5
Chhattisgarh,"14 - Prohibition of Child Marriage Act, 2006",2014,4,0,4
Chhattisgarh,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Chhattisgarh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Chhattisgarh,16.1 - Offences committed against Migrant,2014,0,0,0
Chhattisgarh,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Chhattisgarh,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Chhattisgarh,16.1.3 - Offences committed against others migrants,2014,0,0,0
Chhattisgarh,16.2 - Offences committed against Locals,2014,0,0,0
Chhattisgarh,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Chhattisgarh,16.2.2 - Offences committed against Local STs,2014,0,0,0
Chhattisgarh,16.2.3 - Offences committed against others locals,2014,0,0,0
Chhattisgarh,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Chhattisgarh,17.1 - Under ITP Section 5,2014,0,0,0
Chhattisgarh,17.2 - Under ITP Section 6,2014,0,0,0
Chhattisgarh,17.3 - Under ITP Section 7,2014,0,0,0
Chhattisgarh,17.4 - Under ITP Section 8,2014,0,0,0
Chhattisgarh,17.5 - Other Section of ITP Act,2014,0,0,0
Chhattisgarh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0
Chhattisgarh,"19 - Protection of Children from Sexual Offences Act, 2012",2014,343,72,415
Chhattisgarh,19.1 - Under PCSO Act Section 4,2014,168,34,202
Chhattisgarh,19.2 - Under PCSO Act Section 6,2014,19,1,20
Chhattisgarh,19.3 - Under PCSO Act Section 8,2014,81,7,88
Chhattisgarh,19.4 - Under PCSO Act Section 10,2014,10,30,40
Chhattisgarh,19.5 - Under PCSO Act Sections 14 & 15,2014,2,0,2
Chhattisgarh,19.6 - Other Acts of PCSO,2014,63,0,63
Chhattisgarh,20 - Attempt to commit Murder u/s 307 IPC,2014,263,7,270
Chhattisgarh,21 - Unnatural Offences u/s 377 IPC,2014,22,0,22
Chhattisgarh,22 - Other crimes committed against children,2014,722,64,786
Chhattisgarh,23 - Total crimes against Children,2014,3727,184,3911
Goa,1 - Murder (Section 302 and 303 IPC),2014,5,0,5
Goa,2 - Infanticide (Section 315 IPC),2014,0,0,0
Goa,3 - Rape,2014,67,3,70
Goa,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,42,1,43
Goa,4.1 - Sexual Harassment (Section 354A IPC),2014,19,1,20
Goa,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,2,0,2
Goa,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Goa,4.4 - Stalking (Section 354D IPC),2014,5,0,5
Goa,4.5 - Others assault,2014,16,0,16
Goa,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,1,0,1
Goa,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,34,6,40
Goa,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,34,6,40
Goa,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Goa,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,0,0,0
Goa,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,0,0,0
Goa,6.5 - Other Kidnapping,2014,0,0,0
Goa,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Goa,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Goa,9 - Exposure and Abandonment (Section 317 IPC),2014,0,0,0
Goa,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0
Goa,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Goa,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Goa,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Goa,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0
Goa,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Goa,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,0,0,0
Goa,16.1 - Offences committed against Migrant,2014,0,0,0
Goa,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Goa,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Goa,16.1.3 - Offences committed against others migrants,2014,0,0,0
Goa,16.2 - Offences committed against Locals,2014,0,0,0
Goa,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Goa,16.2.2 - Offences committed against Local STs,2014,0,0,0
Goa,16.2.3 - Offences committed against others locals,2014,0,0,0
Goa,"17 - Immoral Traffic (Prevention) Act, 1956",2014,0,0,0
Goa,17.1 - Under ITP Section 5,2014,0,0,0
Goa,17.2 - Under ITP Section 6,2014,0,0,0
Goa,17.3 - Under ITP Section 7,2014,0,0,0
Goa,17.4 - Under ITP Section 8,2014,0,0,0
Goa,17.5 - Other Section of ITP Act,2014,0,0,0
Goa,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,2,0,2
Goa,"19 - Protection of Children from Sexual Offences Act, 2012",2014,2,0,2
Goa,19.1 - Under PCSO Act Section 4,2014,0,0,0
Goa,19.2 - Under PCSO Act Section 6,2014,0,0,0
Goa,19.3 - Under PCSO Act Section 8,2014,2,0,2
Goa,19.4 - Under PCSO Act Section 10,2014,0,0,0
Goa,19.5 - Under PCSO Act Sections 14 & 15,2014,0,0,0
Goa,19.6 - Other Acts of PCSO,2014,0,0,0
Goa,20 - Attempt to commit Murder u/s 307 IPC,2014,2,0,2
Goa,21 - Unnatural Offences u/s 377 IPC,2014,0,0,0
Goa,22 - Other crimes committed against children,2014,70,21,91
Goa,23 - Total crimes against Children,2014,225,31,256
Gujarat,1 - Murder (Section 302 and 303 IPC),2014,50,18,68
Gujarat,2 - Infanticide (Section 315 IPC),2014,0,0,0
Gujarat,3 - Rape,2014,384,13,397
Gujarat,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,258,3,261
Gujarat,4.1 - Sexual Harassment (Section 354A IPC),2014,130,2,132
Gujarat,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,7,1,8
Gujarat,4.3 - Voyeurism (Section 354C IPC),2014,0,0,0
Gujarat,4.4 - Stalking (Section 354D IPC),2014,24,0,24
Gujarat,4.5 - Others assault,2014,97,0,97
Gujarat,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2014,4,0,4
Gujarat,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2014,1768,51,1819
Gujarat,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,597,25,622
Gujarat,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),2014,0,0,0
Gujarat,6.3 - Kidnapping for Ransom (Section 364A IPC),2014,12,3,15
Gujarat,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),2014,963,15,978
Gujarat,6.5 - Other Kidnapping,2014,196,8,204
Gujarat,7 - Foeticide (Section 315 and 316 IPC),2014,0,0,0
Gujarat,8 - Abetment of Suicide of child (Section 305 IPC),2014,0,0,0
Gujarat,9 - Exposure and Abandonment (Section 317 IPC),2014,12,9,21
Gujarat,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0
Gujarat,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0
Gujarat,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0
Gujarat,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0
Gujarat,"14 - Prohibition of Child Marriage Act, 2006",2014,51,25,76
Gujarat,"15 - Transplantation of Human Organs Act, 1994",2014,0,0,0
Gujarat,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2014,2,0,2
Gujarat,16.1 - Offences committed against Migrant,2014,0,0,0
Gujarat,16.1.1 - Offences committed against SC migrants,2014,0,0,0
Gujarat,16.1.2 - Offences committed against ST migrants,2014,0,0,0
Gujarat,16.1.3 - Offences committed against others migrants,2014,0,0,0
Gujarat,16.2 - Offences committed against Locals,2014,2,0,2
Gujarat,16.2.1 - Offences committed against Local SCs,2014,0,0,0
Gujarat,16.2.2 - Offences committed against Local STs,2014,0,0,0
Gujarat,16.2.3 - Offences committed against others locals,2014,2,0,2
Gujarat,"17 - Immoral Traffic (Prevention) Act, 1956",2014,2,1,3
Gujarat,17.1 - Under ITP Section 5,2014,0,0,0
Gujarat,17.2 - Under ITP Section 6,2014,0,0,0
Gujarat,17.3 - Under ITP Section 7,2014,0,0,0
Gujarat,17.4 - Under ITP Section 8,2014,2,1,3
Gujarat,17.5 - Other Section of ITP Act,2014,0,0,0
Gujarat,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,90,4,94
Gujarat,"19 - Protection of Children from Sexual Offences Act, 2012",2014,111,6,117
Gujarat,19.1 - Under PCSO Act Section 4,2014,53,0,53
Gujarat,19.2 - Under PCSO Act Section 6,2014,38,1,39
Gujarat,19.3 - Under PCSO Act Section 8,2014,4,0,4
Gujarat,19.4 - Under PCSO Act Section 10,2014,5,0,5
Gujarat,19.5 - Under PCSO Act Sections 14 & 15,2014,3,0,3
Gujarat,19.6 - Other Acts of PCSO,2014,8,5,13
Gujarat,20 - Attempt to commit Murder u/s 307 IPC,2014,83,7,90
Gujarat,21 - Unnatural Offences u/s 377 IPC,2014,20,1,21
Gujarat,22 - Other crimes committed against children,2014,229,9,238
Gujarat,23 - Total crimes against Children,2014,3064,147,3211
Haryana,1 - Murder (Section 302 and 303 IPC),2014,68,3,71
Haryana,2 - Infanticide (Section 315 IPC),2014,0,0,0
Haryana,3 - Rape,2014,487,15,502
Haryana,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),2014,320,0,320
Haryana,4.1 - Sexual Harassment (Section 354A IPC),2014,126,0,126
Haryana,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2014,41,0,41
Haryana,4.3 - Voyeurism (Section 354C IPC),2014,4,0,4
Haryana,4.4 - Stalking (Section 354D IPC),2014,58,0,58
Haryana,4.5 - Others assault,2014,91,0,91
